Cod_Venda;Cod_Data;DataNotaFiscal;Dia;Mes;Ano;Cod_Marca;Marca;UF;Nome_UF;PrecoVenda;PrecoCusto;TotalDesconto;Frete;CustoMaoDeObra;Cod_Modelo;Modelo;Id_Cor;Cores;Cod_Vendedor;Vendedor;Cod_Filial;Nome_Filial;Estado_Filial;Demog_Clientes;Meios_de_Pag;Cat_de_Produtos;Campanhas_de_Mkt;Informacoes_de_Devolu;Canais_de_Venda;Indi_Satisfacao
466;42638;25/09/2016;25;9;2016;M05;Milteka;PI;Piauí;184,7;92,35;4,62;10,53;27,71;J006;Cigarrete;PMS 7515;Bege;1;Patricia;1;Allenópolis;SP;Feminino, 18-24, Classe A;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Black Friday;Não;Loja Física;3/5
467;43767;29/10/2019;29;10;2019;M03;Patrilolo;DF;Distrito Federal;184,76;92,38;4,62;10,53;27,71;J004;Pantacourt;PMS 7515;Bege;5;Bianka;3;Rio Claro;MG;Masculino, 25-34, Classe B;Débito;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Sim, Tecido Incorreto;Online;4/5
468;43370;27/09/2018;27;9;2018;M05;Milteka;MG;Minas Gerais;184,99;92,5;4,62;10,54;27,75;J004;Pantacourt;PMS 576;Verde;2;Milton;1;Allenópolis;SP;Masculino, 35-44, Classe C;Pix;Boyfriend, Algodão, Rasgado;Lançamento de Coleção;Não;Online;5/5
469;43823;24/12/2019;24;12;2019;M04;Salvion;RR;Roraima;185,14;92,57;4,63;10,55;27,77;J002;Skinny;PMS 576;Verde;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Dinheiro;Cropped, Elastano, Lavagem Clara;Dia das Mães;Sim, Tecido Incorreto;Loja Física;4/5
470;43397;24/10/2018;24;10;2018;M04;Salvion;PE;Pernambuco;185,34;92,67;4,63;10,56;27,8;J006;Cigarrete;PMS 7515;Bege;7;Pedro;4;Bauru;SP;Feminino, 45-54, Classe B;Transferência Bancária;Flare, Jeans Reciclado, Rasgado;Lançamento de Coleção;Não;Loja Física;2/5
471;43994;12/06/2020;12;6;2020;M05;Milteka;MA;Maranhão;185,41;92,71;4,64;10,57;27,81;J004;Pantacourt;PMS 576;Verde;5;Bianka;3;Rio Claro;MG;Masculino, 55-64, Classe A;Débito;Skinny, Algodão, Sem Rasgo;Dia das Mães;Não;Loja Física;2/5
472;43755;17/10/2019;17;10;2019;M04;Salvion;MG;Minas Gerais;185,64;92,82;4,64;10,58;27,85;J002;Skinny;PMS 2965;Azul;1;Patricia;1;Allenópolis;SP;Feminino, 45-54, Classe B;Dinheiro;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Não;Loja Física;3/5
473;44063;20/08/2020;20;8;2020;M02;Pardiucci;MT;Mato Grosso;185,99;93;4,65;10,6;27,9;J006;Cigarrete;PMS 519;Vinho;4;Edson;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Pix;Skinny, Algodão, Sem Rasgo;Dia das Mães;Sim, Tamanho Incorreto;Loja Física;4/5
474;43213;23/04/2018;23;4;2018;M02;Pardiucci;PA;Pará;186,06;93,03;4,65;10,61;27,91;J002;Skinny;PMS 2926;Preto;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Débito;Cropped, Elastano, Lavagem Clara;Liquidação de Inverno;Sim, Tecido Incorreto;Online;5/5
475;43166;07/03/2018;7;3;2018;M01;Allen Machine;TO;Tocantins;186,58;93,29;4,66;10,64;27,99;J004;Pantacourt;PMS 2926;Preto;1;Patricia;1;Allenópolis;SP;Masculino, 55-64, Classe A;Transferência Bancária;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Não;Loja Física;4/5
476;43972;21/05/2020;21;5;2020;M04;Salvion;RN;Rio Grande do Norte;186,69;93,35;4,67;10,64;28,01;J006;Cigarrete;PMS 2765;Branco;7;Pedro;4;Bauru;SP;Masculino, 35-44, Classe C;Pix;Cropped, Elastano, Lavagem Clara;Lançamento de Coleção;Não;Online;2/5
477;43265;14/06/2018;14;6;2018;M04;Salvion;RJ;Rio de Janeiro;186,94;93,47;4,67;10,66;28,04;J004;Pantacourt;PMS 576;Verde;6;Airton;3;Rio Claro;MG;Feminino, 45-54, Classe B;Pix;Mom, Elastano, Lavagem Escura;Black Friday;Sim, Tamanho Incorreto;Online;4.5/5
478;42561;10/07/2016;10;7;2016;M03;Patrilolo;PR;Paraná;187,12;93,56;4,68;10,67;28,07;J005;Hot Pants;PMS 576;Verde;2;Milton;1;Allenópolis;SP;Masculino, 35-44, Classe C;Dinheiro;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Não;Loja Física;5/5
479;43726;18/09/2019;18;9;2019;M05;Milteka;MT;Mato Grosso;187,2;93,6;4,68;10,67;28,08;J005;Hot Pants;PMS 576;Verde;6;Airton;3;Rio Claro;MG;Masculino, 55-64, Classe A;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Black Friday;Não;Online;4/5
480;43586;01/05/2019;1;5;2019;M02;Pardiucci;MS;Mato Grosso do Sul;187,59;93,8;4,69;10,69;28,14;J005;Hot Pants;PMS 2965;Azul;2;Milton;1;Allenópolis;SP;Masculino, 35-44, Classe C;Débito;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Não;Online;4/5
481;43299;18/07/2018;18;7;2018;M02;Pardiucci;RR;Roraima;187,75;93,88;4,69;10,7;28,16;J001;Cropped;PMS 2926;Preto;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Pix;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Sim, Tamanho Incorreto;Online;3/5
482;43836;06/01/2020;6;1;2020;M04;Salvion;MG;Minas Gerais;187,85;93,93;4,7;10,71;28,18;J003;Flare;PMS 519;Vinho;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Cartão de Crédito;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Sim, Tamanho Incorreto;Online;4.5/5
483;43607;22/05/2019;22;5;2019;M04;Salvion;MS;Mato Grosso do Sul;188,03;94,02;4,7;10,72;28,21;J002;Skinny;PMS 576;Verde;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Cartão de Crédito;Boyfriend, Algodão, Rasgado;Black Friday;Sim, Tamanho Incorreto;Online;3/5
484;42965;18/08/2017;18;8;2017;M01;Allen Machine;BA;Bahia;188,04;94,02;4,7;10,72;28,21;J006;Cigarrete;PMS 2965;Azul;1;Patricia;1;Allenópolis;SP;Masculino, 55-64, Classe A;Débito;Boyfriend, Algodão, Rasgado;Promoção de Verão;Não;Loja Física;3/5
485;43096;27/12/2017;27;12;2017;M01;Allen Machine;RO;Rondônia;189,26;94,63;4,73;10,79;28,39;J001;Cropped;PMS 519;Vinho;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Dinheiro;Cropped, Elastano, Lavagem Clara;Black Friday;Sim, Tecido Incorreto;Loja Física;2/5
486;42563;12/07/2016;12;7;2016;M02;Pardiucci;PR;Paraná;189,37;94,69;4,73;10,79;28,41;J002;Skinny;PMS 2926;Preto;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Dinheiro;Skinny, Algodão, Sem Rasgo;Black Friday;Sim, Defeito no Produto;Loja Física;4.5/5
487;44104;30/09/2020;30;9;2020;M03;Patrilolo;SE;Sergipe;189,63;94,82;4,74;10,81;28,45;J005;Hot Pants;PMS 2926;Preto;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Pix;Boyfriend, Algodão, Rasgado;Black Friday;Não;Loja Física;3/5
488;43120;20/01/2018;20;1;2018;M04;Salvion;PB;Paraíba;189,96;94,98;4,75;10,83;28,49;J003;Flare;PMS 576;Verde;4;Edson;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Transferência Bancária;Cropped, Elastano, Lavagem Clara;Dia das Mães;Sim, Tamanho Incorreto;Online;2/5
489;42921;05/07/2017;5;7;2017;M05;Milteka;RR;Roraima;190,11;95,06;4,75;10,84;28,52;J005;Hot Pants;PMS 2926;Preto;6;Airton;3;Rio Claro;MG;Feminino, 45-54, Classe B;Débito;Boyfriend, Algodão, Rasgado;Promoção de Verão;Sim, Tamanho Incorreto;Online;4/5
490;42966;19/08/2017;19;8;2017;M02;Pardiucci;RO;Rondônia;190,32;95,16;4,76;10,85;28,55;J003;Flare;PMS 2765;Branco;1;Patricia;1;Allenópolis;SP;Feminino, 18-24, Classe A;Cartão de Crédito;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Sim, Tecido Incorreto;Loja Física;5/5
491;44178;13/12/2020;13;12;2020;M05;Milteka;AM;Amazonas;190,52;95,26;4,76;10,86;28,58;J001;Cropped;PMS 576;Verde;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Pix;Boyfriend, Algodão, Rasgado;Lançamento de Coleção;Sim, Defeito no Produto;Loja Física;5/5
492;42788;22/02/2017;22;2;2017;M05;Milteka;MS;Mato Grosso do Sul;190,65;95,33;4,77;10,87;28,6;J006;Cigarrete;PMS 2926;Preto;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Débito;Boyfriend, Algodão, Rasgado;Lançamento de Coleção;Não;Online;4/5
493;43683;06/08/2019;6;8;2019;M04;Salvion;RS;Rio Grande do Sul;191,2;95,6;4,78;10,9;28,68;J005;Hot Pants;PMS 7515;Bege;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Pix;Skinny, Algodão, Sem Rasgo;Black Friday;Sim, Tamanho Incorreto;Loja Física;2/5
494;43632;16/06/2019;16;6;2019;M05;Milteka;TO;Tocantins;191,64;95,82;4,79;10,92;28,75;J004;Pantacourt;PMS 2765;Branco;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Transferência Bancária;Boyfriend, Algodão, Rasgado;Promoção de Verão;Não;Loja Física;2/5
495;43595;10/05/2019;10;5;2019;M04;Salvion;AP;Amapá;192,13;96,07;4,8;10,95;28,82;J002;Skinny;PMS 2965;Azul;7;Pedro;4;Bauru;SP;Masculino, 25-34, Classe B;Débito;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Não;Online;2/5
496;42515;25/05/2016;25;5;2016;M01;Allen Machine;PB;Paraíba;192,16;96,08;4,8;10,95;28,82;J001;Cropped;PMS 576;Verde;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Dinheiro;Flare, Jeans Reciclado, Rasgado;Lançamento de Coleção;Sim, Tamanho Incorreto;Online;2/5
497;44060;17/08/2020;17;8;2020;M03;Patrilolo;MG;Minas Gerais;192,27;96,14;4,81;10,96;28,84;J003;Flare;PMS 7515;Bege;1;Patricia;1;Allenópolis;SP;Masculino, 25-34, Classe B;Transferência Bancária;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Sim, Defeito no Produto;Loja Física;4.5/5
498;42565;14/07/2016;14;7;2016;M04;Salvion;RO;Rondônia;192,3;96,15;4,81;10,96;28,85;J006;Cigarrete;PMS 576;Verde;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Débito;Skinny, Algodão, Sem Rasgo;Dia das Mães;Não;Online;4.5/5
499;42932;16/07/2017;16;7;2017;M03;Patrilolo;MG;Minas Gerais;192,51;96,26;4,81;10,97;28,88;J003;Flare;PMS 2965;Azul;6;Airton;3;Rio Claro;MG;Masculino, 25-34, Classe B;Débito;Skinny, Algodão, Sem Rasgo;Dia das Mães;Não;Online;3/5
500;42401;01/02/2016;1;2;2016;M03;Patrilolo;GO;Goiás;192,7;96,35;4,82;10,98;28,91;J006;Cigarrete;PMS 2965;Azul;7;Pedro;4;Bauru;SP;Masculino, 55-64, Classe A;Débito;Skinny, Algodão, Sem Rasgo;Lançamento de Coleção;Sim, Tecido Incorreto;Loja Física;2/5
501;42986;08/09/2017;8;9;2017;M03;Patrilolo;MG;Minas Gerais;193;96,5;4,83;11;28,95;J001;Cropped;PMS 519;Vinho;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Dinheiro;Flare, Jeans Reciclado, Rasgado;Promoção de Verão;Sim, Defeito no Produto;Loja Física;3/5
502;43325;13/08/2018;13;8;2018;M01;Allen Machine;AC;Acre;193,08;96,54;4,83;11,01;28,96;J002;Skinny;PMS 519;Vinho;4;Edson;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Transferência Bancária;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Sim, Defeito no Produto;Loja Física;4/5
503;43338;26/08/2018;26;8;2018;M04;Salvion;RN;Rio Grande do Norte;193,58;96,79;4,84;11,03;29,04;J001;Cropped;PMS 576;Verde;2;Milton;1;Allenópolis;SP;Feminino, 18-24, Classe A;Cartão de Crédito;Flare, Jeans Reciclado, Rasgado;Liquidação de Inverno;Não;Online;5/5
504;43104;04/01/2018;4;1;2018;M04;Salvion;AP;Amapá;193,6;96,8;4,84;11,04;29,04;J006;Cigarrete;PMS 2965;Azul;2;Milton;1;Allenópolis;SP;Feminino, 18-24, Classe A;Dinheiro;Boyfriend, Algodão, Rasgado;Black Friday;Não;Loja Física;2/5
505;43755;17/10/2019;17;10;2019;M04;Salvion;ES;Espírito Santo;194,03;97,02;4,85;11,06;29,11;J001;Cropped;PMS 2765;Branco;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Dinheiro;Skinny, Algodão, Sem Rasgo;Dia das Mães;Não;Online;5/5
506;43716;08/09/2019;8;9;2019;M04;Salvion;AM;Amazonas;194,19;97,1;4,85;11,07;29,13;J002;Skinny;PMS 2765;Branco;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Transferência Bancária;Boyfriend, Algodão, Rasgado;Black Friday;Sim, Defeito no Produto;Loja Física;4/5
507;43837;07/01/2020;7;1;2020;M04;Salvion;PB;Paraíba;194,37;97,19;4,86;11,08;29,16;J001;Cropped;PMS 7515;Bege;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Cartão de Crédito;Boyfriend, Algodão, Rasgado;Black Friday;Não;Loja Física;4.5/5
508;44079;05/09/2020;5;9;2020;M05;Milteka;PB;Paraíba;194,69;97,35;4,87;11,1;29,21;J001;Cropped;PMS 576;Verde;7;Pedro;4;Bauru;SP;Masculino, 35-44, Classe C;Pix;Mom, Elastano, Lavagem Escura;Dia das Mães;Sim, Tamanho Incorreto;Loja Física;4/5
509;42953;06/08/2017;6;8;2017;M02;Pardiucci;RR;Roraima;194,72;97,36;4,87;11,1;29,21;J004;Pantacourt;PMS 7515;Bege;4;Edson;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Pix;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Sim, Tecido Incorreto;Online;4.5/5
510;43590;05/05/2019;5;5;2019;M02;Pardiucci;SP;São Paulo;194,89;97,45;4,87;11,11;29,24;J005;Hot Pants;PMS 2965;Azul;1;Patricia;1;Allenópolis;SP;Feminino, 45-54, Classe B;Transferência Bancária;Boyfriend, Algodão, Rasgado;Dia das Mães;Sim, Tecido Incorreto;Online;3/5
511;44104;30/09/2020;30;9;2020;M04;Salvion;GO;Goiás;195,45;97,73;4,89;11,14;29,32;J004;Pantacourt;PMS 576;Verde;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Dinheiro;Flare, Jeans Reciclado, Rasgado;Liquidação de Inverno;Não;Online;3/5
512;42547;26/06/2016;26;6;2016;M02;Pardiucci;AP;Amapá;195,52;97,76;4,89;11,14;29,33;J006;Cigarrete;PMS 2765;Branco;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Pix;Mom, Elastano, Lavagem Escura;Black Friday;Não;Online;4.5/5
513;43433;29/11/2018;29;11;2018;M02;Pardiucci;MG;Minas Gerais;195,7;97,85;4,89;11,16;29,36;J003;Flare;PMS 519;Vinho;7;Pedro;4;Bauru;SP;Masculino, 25-34, Classe B;Débito;Boyfriend, Algodão, Rasgado;Liquidação de Inverno;Sim, Defeito no Produto;Loja Física;5/5
514;44022;10/07/2020;10;7;2020;M05;Milteka;AC;Acre;195,86;97,93;4,9;11,16;29,38;J005;Hot Pants;PMS 2965;Azul;6;Airton;3;Rio Claro;MG;Masculino, 35-44, Classe C;Transferência Bancária;Mom, Elastano, Lavagem Escura;Black Friday;Sim, Defeito no Produto;Loja Física;4.5/5
515;43770;01/11/2019;1;11;2019;M03;Patrilolo;DF;Distrito Federal;196,08;98,04;4,9;11,18;29,41;J003;Flare;PMS 519;Vinho;6;Airton;3;Rio Claro;MG;Feminino, 45-54, Classe B;Débito;Cropped, Elastano, Lavagem Clara;Promoção de Verão;Sim, Defeito no Produto;Loja Física;4.5/5
516;42671;28/10/2016;28;10;2016;M05;Milteka;RO;Rondônia;196,5;98,25;4,91;11,2;29,48;J002;Skinny;PMS 2965;Azul;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Pix;Mom, Elastano, Lavagem Escura;Black Friday;Sim, Tamanho Incorreto;Loja Física;4.5/5
517;43007;29/09/2017;29;9;2017;M02;Pardiucci;SC;Santa Catarina;196,67;98,34;4,92;11,21;29,5;J001;Cropped;PMS 2926;Preto;7;Pedro;4;Bauru;SP;Masculino, 35-44, Classe C;Cartão de Crédito;Boyfriend, Algodão, Rasgado;Lançamento de Coleção;Não;Loja Física;4.5/5
518;42884;29/05/2017;29;5;2017;M02;Pardiucci;SE;Sergipe;196,73;98,37;4,92;11,21;29,51;J002;Skinny;PMS 2926;Preto;1;Patricia;1;Allenópolis;SP;Feminino, 18-24, Classe A;Débito;Boyfriend, Algodão, Rasgado;Promoção de Verão;Não;Loja Física;2/5
519;42521;31/05/2016;31;5;2016;M02;Pardiucci;MA;Maranhão;196,89;98,45;4,92;11,22;29,54;J004;Pantacourt;PMS 2765;Branco;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Transferência Bancária;Mom, Elastano, Lavagem Escura;Promoção de Verão;Não;Online;3/5
520;43673;27/07/2019;27;7;2019;M05;Milteka;BA;Bahia;197,53;98,77;4,94;11,26;29,63;J001;Cropped;PMS 519;Vinho;6;Airton;3;Rio Claro;MG;Masculino, 25-34, Classe B;Dinheiro;Flare, Jeans Reciclado, Rasgado;Promoção de Verão;Sim, Tamanho Incorreto;Online;4/5
521;43017;09/10/2017;9;10;2017;M03;Patrilolo;AC;Acre;197,8;98,9;4,95;11,27;29,67;J006;Cigarrete;PMS 2965;Azul;7;Pedro;4;Bauru;SP;Masculino, 25-34, Classe B;Cartão de Crédito;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Sim, Defeito no Produto;Loja Física;4/5
522;43197;07/04/2018;7;4;2018;M03;Patrilolo;PR;Paraná;198,17;99,09;4,95;11,3;29,73;J005;Hot Pants;PMS 2765;Branco;4;Edson;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Dinheiro;Cropped, Elastano, Lavagem Clara;Dia das Mães;Não;Online;4.5/5
523;43193;03/04/2018;3;4;2018;M03;Patrilolo;PB;Paraíba;198,39;99,2;4,96;11,31;29,76;J002;Skinny;PMS 576;Verde;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Pix;Skinny, Algodão, Sem Rasgo;Lançamento de Coleção;Não;Online;5/5
524;42771;05/02/2017;5;2;2017;M05;Milteka;RO;Rondônia;198,52;99,26;4,96;11,32;29,78;J005;Hot Pants;PMS 2926;Preto;5;Bianka;3;Rio Claro;MG;Masculino, 25-34, Classe B;Pix;Mom, Elastano, Lavagem Escura;Promoção de Verão;Sim, Tecido Incorreto;Loja Física;4/5
525;43194;04/04/2018;4;4;2018;M03;Patrilolo;MG;Minas Gerais;198,69;99,35;4,97;11,32;29,81;J002;Skinny;PMS 2926;Preto;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Débito;Flare, Jeans Reciclado, Rasgado;Lançamento de Coleção;Não;Loja Física;5/5
526;43879;18/02/2020;18;2;2020;M05;Milteka;AL;Alagoas;198,81;99,41;4,97;11,33;29,82;J004;Pantacourt;PMS 2965;Azul;1;Patricia;1;Allenópolis;SP;Feminino, 45-54, Classe B;Débito;Boyfriend, Algodão, Rasgado;Liquidação de Inverno;Sim, Tecido Incorreto;Loja Física;4/5
527;42717;13/12/2016;13;12;2016;M05;Milteka;PE;Pernambuco;199,29;99,65;4,98;11,36;29,9;J003;Flare;PMS 519;Vinho;6;Airton;3;Rio Claro;MG;Feminino, 45-54, Classe B;Débito;Skinny, Algodão, Sem Rasgo;Dia das Mães;Não;Online;3/5
528;43523;27/02/2019;27;2;2019;M03;Patrilolo;MG;Minas Gerais;199,4;99,7;4,99;11,37;29,91;J005;Hot Pants;PMS 2926;Preto;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Débito;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Sim, Defeito no Produto;Online;5/5
529;43240;20/05/2018;20;5;2018;M05;Milteka;MG;Minas Gerais;199,84;99,92;5;11,39;29,98;J003;Flare;PMS 2765;Branco;1;Patricia;1;Allenópolis;SP;Feminino, 18-24, Classe A;Pix;Skinny, Algodão, Sem Rasgo;Dia das Mães;Sim, Defeito no Produto;Loja Física;4/5
530;42714;10/12/2016;10;12;2016;M04;Salvion;PE;Pernambuco;200,23;100,12;5,01;11,41;30,04;J006;Cigarrete;PMS 7515;Bege;5;Bianka;3;Rio Claro;MG;Masculino, 25-34, Classe B;Cartão de Crédito;Mom, Elastano, Lavagem Escura;Promoção de Verão;Sim, Tecido Incorreto;Loja Física;4.5/5
531;43164;05/03/2018;5;3;2018;M01;Allen Machine;BA;Bahia;200,7;100,35;5,02;11,44;30,11;J005;Hot Pants;PMS 519;Vinho;2;Milton;1;Allenópolis;SP;Feminino, 45-54, Classe B;Pix;Skinny, Algodão, Sem Rasgo;Black Friday;Sim, Tamanho Incorreto;Loja Física;3/5
532;43967;16/05/2020;16;5;2020;M02;Pardiucci;CE;Ceará;201,1;100,55;5,03;11,46;30,17;J005;Hot Pants;PMS 576;Verde;6;Airton;3;Rio Claro;MG;Masculino, 35-44, Classe C;Cartão de Crédito;Skinny, Algodão, Sem Rasgo;Black Friday;Não;Online;5/5
533;43439;05/12/2018;5;12;2018;M01;Allen Machine;MS;Mato Grosso do Sul;201,26;100,63;5,03;11,47;30,19;J004;Pantacourt;PMS 519;Vinho;6;Airton;3;Rio Claro;MG;Masculino, 25-34, Classe B;Transferência Bancária;Mom, Elastano, Lavagem Escura;Black Friday;Sim, Tecido Incorreto;Online;4/5
534;42651;08/10/2016;8;10;2016;M03;Patrilolo;AP;Amapá;201,3;100,65;5,03;11,47;30,2;J004;Pantacourt;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Transferência Bancária;Skinny, Algodão, Sem Rasgo;Liquidação de Inverno;Não;Loja Física;4.5/5
535;42451;22/03/2016;22;3;2016;M05;Milteka;AL;Alagoas;201,41;100,71;5,04;11,48;30,21;J002;Skinny;PMS 2765;Branco;1;Patricia;1;Allenópolis;SP;Feminino, 18-24, Classe A;Débito;Boyfriend, Algodão, Rasgado;Lançamento de Coleção;Não;Loja Física;4.5/5
536;43253;02/06/2018;2;6;2018;M02;Pardiucci;RN;Rio Grande do Norte;201,56;100,78;5,04;11,49;30,23;J003;Flare;PMS 2765;Branco;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Lançamento de Coleção;Sim, Tamanho Incorreto;Online;3/5
537;42834;09/04/2017;9;4;2017;M04;Salvion;DF;Distrito Federal;202,05;101,03;5,05;11,52;30,31;J003;Flare;PMS 7515;Bege;5;Bianka;3;Rio Claro;MG;Feminino, 45-54, Classe B;Transferência Bancária;Skinny, Algodão, Sem Rasgo;Black Friday;Não;Online;3/5
538;43639;23/06/2019;23;6;2019;M02;Pardiucci;PR;Paraná;202,26;101,13;5,06;11,53;30,34;J002;Skinny;PMS 7515;Bege;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 25-34, Classe B;Dinheiro;Boyfriend, Algodão, Rasgado;Promoção de Verão;Sim, Tecido Incorreto;Loja Física;2/5
539;43621;05/06/2019;5;6;2019;M01;Allen Machine;RR;Roraima;202,52;101,26;5,06;11,54;30,38;J001;Cropped;PMS 2965;Azul;5;Bianka;3;Rio Claro;MG;Feminino, 45-54, Classe B;Débito;Flare, Jeans Reciclado, Rasgado;Liquidação de Inverno;Sim, Tamanho Incorreto;Online;5/5
540;43263;12/06/2018;12;6;2018;M01;Allen Machine;SP;São Paulo;203,3;101,65;5,08;11,59;30,5;J006;Cigarrete;PMS 7515;Bege;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Dinheiro;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Não;Online;2/5
541;43289;08/07/2018;8;7;2018;M04;Salvion;PA;Pará;203,32;101,66;5,08;11,59;30,5;J002;Skinny;PMS 576;Verde;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Transferência Bancária;Mom, Elastano, Lavagem Escura;Lançamento de Coleção;Não;Online;4.5/5
542;42448;19/03/2016;19;3;2016;M01;Allen Machine;PB;Paraíba;203,32;101,66;5,08;11,59;30,5;J006;Cigarrete;PMS 2926;Preto;6;Airton;3;Rio Claro;MG;Masculino, 25-34, Classe B;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Dia das Mães;Não;Loja Física;3/5
543;42398;29/01/2016;29;1;2016;M02;Pardiucci;RS;Rio Grande do Sul;203,36;101,68;5,08;11,59;30,5;J002;Skinny;PMS 576;Verde;1;Patricia;1;Allenópolis;SP;Masculino, 25-34, Classe B;Pix;Flare, Jeans Reciclado, Rasgado;Black Friday;Não;Online;4.5/5
544;43347;04/09/2018;4;9;2018;M05;Milteka;PA;Pará;203,65;101,83;5,09;11,61;30,55;J002;Skinny;PMS 2965;Azul;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Débito;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Sim, Tecido Incorreto;Loja Física;4.5/5
545;44143;08/11/2020;8;11;2020;M03;Patrilolo;SP;São Paulo;203,78;101,89;5,09;11,62;30,57;J003;Flare;PMS 519;Vinho;1;Patricia;1;Allenópolis;SP;Feminino, 45-54, Classe B;Transferência Bancária;Cropped, Elastano, Lavagem Clara;Lançamento de Coleção;Não;Online;3/5
546;43487;22/01/2019;22;1;2019;M01;Allen Machine;RN;Rio Grande do Norte;204,1;102,05;5,1;11,63;30,62;J005;Hot Pants;PMS 2765;Branco;7;Pedro;4;Bauru;SP;Masculino, 35-44, Classe C;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Liquidação de Inverno;Sim, Tecido Incorreto;Loja Física;2/5
547;43853;23/01/2020;23;1;2020;M04;Salvion;MS;Mato Grosso do Sul;205,11;102,56;5,13;11,69;30,77;J001;Cropped;PMS 2765;Branco;7;Pedro;4;Bauru;SP;Masculino, 35-44, Classe C;Dinheiro;Mom, Elastano, Lavagem Escura;Promoção de Verão;Sim, Defeito no Produto;Loja Física;2/5
548;43027;19/10/2017;19;10;2017;M05;Milteka;MG;Minas Gerais;205,18;102,59;5,13;11,7;30,78;J003;Flare;PMS 576;Verde;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Transferência Bancária;Mom, Elastano, Lavagem Escura;Promoção de Verão;Sim, Tecido Incorreto;Online;4.5/5
549;42822;28/03/2017;28;3;2017;M05;Milteka;RN;Rio Grande do Norte;205,71;102,86;5,14;11,73;30,86;J001;Cropped;PMS 7515;Bege;1;Patricia;1;Allenópolis;SP;Masculino, 35-44, Classe C;Cartão de Crédito;Skinny, Algodão, Sem Rasgo;Promoção de Verão;Sim, Tamanho Incorreto;Online;2/5
